num_messages,num_messages,summary_len_words,total_words,avg_message_words,contains_urgent,contains_meeting,has_zoom,url_count,avg_sentiment
5,5,79,258,51.6,1,0,0,0,0.6504800000000001
4,4,75,89,22.25,0,0,0,0,0.061649999999999996
4,4,84,45,11.25,0,0,0,0,0.142975
6,6,84,383,63.833333333333336,0,0,0,0,0.6276333333333334
8,8,71,531,66.375,0,0,0,0,0.792325
10,10,101,0,0.0,0,0,0,0,0.0
4,4,101,4471,1117.75,1,0,0,2,-0.63215
4,4,93,816,204.0,1,0,0,0,0.38369999999999993
6,6,125,807,134.5,0,0,0,0,0.8879333333333334
6,6,62,586,97.66666666666667,0,0,0,6,-0.9823666666666667
9,9,102,4439,493.22222222222223,1,0,0,0,0.8428333333333333
4,4,36,68,17.0,0,0,0,0,0.07655
4,4,104,128,32.0,0,0,0,0,0.650025
4,4,58,25,6.25,0,0,0,0,-0.0625
4,4,91,966,241.5,0,1,0,2,0.9148999999999999
4,4,162,2205,551.25,1,0,0,0,-0.9311
5,5,97,110,22.0,0,0,0,0,0.5384800000000001
4,4,83,324,81.0,0,0,0,0,-0.09205
8,8,65,138,17.25,0,0,0,0,0.007225000000000002
9,9,77,1668,185.33333333333334,1,1,0,0,0.2971111111111111
4,4,96,2800,700.0,1,1,0,4,0.480425
9,9,86,0,0.0,0,0,0,0,0.0
5,5,90,2063,412.6,0,0,0,0,0.95292
4,4,88,326,81.5,0,0,0,0,0.8065
5,5,59,98,19.6,0,0,0,0,0.3005
4,4,56,104,26.0,0,0,0,0,0.0
6,6,99,122,20.333333333333332,0,1,0,0,0.16560000000000002
6,6,54,398,66.33333333333333,0,1,0,0,0.7289666666666667
5,5,97,163,32.6,1,1,0,0,0.55426
4,4,72,134,33.5,1,0,0,0,0.296925
4,4,81,3524,881.0,1,0,0,0,0.9085
4,4,80,835,208.75,1,0,0,4,0.89705
4,4,56,159,39.75,0,0,0,0,0.87605
5,5,93,4265,853.0,1,1,0,0,0.99522
5,5,77,813,162.6,0,1,0,0,-0.15860000000000002
4,4,79,680,170.0,0,1,0,0,0.91715
4,4,82,1396,349.0,1,0,0,0,-0.9152500000000001
6,6,80,1172,195.33333333333334,1,0,0,0,0.7837666666666667
4,4,108,1101,275.25,0,1,0,0,0.943875
4,4,74,347,86.75,0,0,0,0,0.391025
6,6,93,1816,302.6666666666667,0,0,0,0,0.9842166666666667
4,4,141,186,46.5,0,0,0,0,0.55185
8,8,155,216,27.0,0,0,0,0,0.3531375
6,6,99,139,23.166666666666668,0,0,0,0,0.41643333333333343
4,4,30,108,27.0,0,0,0,0,0.34
4,4,92,55,13.75,0,0,0,0,0.07675000000000001
5,5,78,18,3.6,0,1,0,0,0.34309999999999996
4,4,90,3412,853.0,1,1,0,0,0.5132
4,4,79,1151,287.75,0,1,0,0,0.9863999999999999
4,4,67,91,22.75,0,0,0,0,0.21444999999999997
4,4,63,484,121.0,0,0,0,0,-0.753775
5,5,90,129,25.8,0,0,0,0,0.62672
4,4,67,843,210.75,1,0,0,0,0.8229
4,4,88,531,132.75,0,0,0,0,0.8752249999999999
5,5,94,378,75.6,1,0,0,0,0.81746
4,4,50,200,50.0,1,0,0,0,0.233125
4,4,53,919,229.75,1,0,0,0,0.439075
6,6,95,175,29.166666666666668,1,0,0,0,0.012866666666666667
4,4,96,2198,549.5,1,0,0,0,0.747075
6,6,59,311,51.833333333333336,0,1,0,0,0.83505
4,4,81,685,171.25,0,0,0,0,0.8188500000000001
4,4,82,141,35.25,0,0,0,0,0.56265
5,5,77,886,177.2,0,0,0,0,0.38289999999999996
4,4,66,275,68.75,0,1,0,0,0.15909999999999996
4,4,80,826,206.5,1,1,0,0,0.8591
7,7,84,1188,169.71428571428572,0,1,0,0,0.6928000000000001
4,4,72,1592,398.0,0,0,0,0,0.9424
4,4,93,3,0.75,0,0,0,0,0.10115
4,4,46,349,87.25,0,0,0,0,0.4402
4,4,87,90,22.5,0,0,0,0,0.171
4,4,51,214,53.5,0,0,0,0,0.5859
4,4,68,1522,380.5,1,0,0,0,0.8957
4,4,67,256,64.0,0,0,0,0,0.78595
4,4,65,382,95.5,0,1,0,0,0.826925
7,7,80,2013,287.57142857142856,0,1,0,12,0.9854285714285714
4,4,97,128,32.0,0,0,0,0,0.09619999999999998
5,5,86,498,99.6,0,0,0,0,0.46871999999999997
10,10,97,995,99.5,1,0,0,0,0.14240999999999998
10,10,87,193,19.3,0,0,0,0,0.04632
4,4,59,45,11.25,0,0,0,0,0.084425
7,7,42,419,59.857142857142854,0,0,0,0,0.4474142857142857
4,4,91,3493,873.25,0,0,0,0,0.99525
4,4,96,1276,319.0,0,0,0,0,0.9372999999999999
4,4,69,535,133.75,0,1,0,0,0.79695
6,6,91,510,85.0,0,0,0,3,0.57925
5,5,77,375,75.0,0,0,0,0,0.4889
4,4,55,220,55.0,0,0,0,0,0.296
4,4,70,133,33.25,0,0,0,0,0.48124999999999996
4,4,76,516,129.0,1,0,0,0,0.752925
5,5,83,844,168.8,0,0,0,0,0.45970000000000005
5,5,69,132,26.4,0,1,0,0,0.48369999999999996
5,5,45,193,38.6,0,0,0,0,0.22354000000000002
4,4,91,741,185.25,1,1,0,0,0.9645999999999999
9,9,77,284,31.555555555555557,0,0,0,0,0.44775
4,4,79,250,62.5,0,0,0,0,0.599575
4,4,72,278,69.5,0,0,0,0,0.073075
4,4,68,330,82.5,0,0,0,0,0.8779
4,4,102,194,48.5,1,1,0,0,0.0040000000000000036
5,5,118,1007,201.4,0,0,0,0,0.50548
4,4,84,347,86.75,0,0,0,0,0.1674
5,5,128,3,0.6,0,0,0,0,0.0
6,6,70,153,25.5,0,0,0,0,0.4544333333333333
5,5,22,202,40.4,0,0,0,0,0.34806
6,6,82,408,68.0,0,0,0,0,0.4195166666666666
4,4,104,451,112.75,1,0,0,0,-0.09575
5,5,95,277,55.4,0,0,0,0,0.7547599999999999
5,5,69,173,34.6,0,0,0,0,0.2983
5,5,82,1719,343.8,1,0,0,0,0.95698
6,6,77,1626,271.0,0,0,0,0,0.9875999999999999
4,4,97,659,164.75,0,1,0,0,0.7995
10,10,76,1578,157.8,0,1,0,2,0.7850399999999998
7,7,92,208,29.714285714285715,0,1,0,0,0.29187142857142856
5,5,80,147,29.4,0,0,0,0,0.3628
4,4,105,2699,674.75,0,1,0,0,0.9602
6,6,88,304,50.666666666666664,0,0,0,0,0.5855833333333333
9,9,98,1227,136.33333333333334,1,1,0,0,0.7959444444444446
4,4,99,516,129.0,0,1,0,0,0.7605
5,5,133,2418,483.6,0,1,0,0,0.8874000000000001
4,4,79,786,196.5,0,1,0,0,0.7709999999999999
7,7,92,599,85.57142857142857,1,0,0,0,0.4585142857142857
7,7,96,714,102.0,0,0,0,8,0.8857857142857144
4,4,77,637,159.25,0,0,0,0,0.576875
10,10,96,162,16.2,0,0,0,0,0.2939333333333333
5,5,72,105,21.0,0,0,0,0,-0.5719
5,5,85,65,13.0,0,1,0,0,0.4082199999999999
4,4,54,230,57.5,0,0,0,0,0.6596
5,5,96,1528,305.6,1,0,0,0,0.9467400000000001
4,4,74,128,32.0,0,0,0,0,-0.148
8,8,52,198,24.75,0,1,0,0,0.271475
4,4,69,536,134.0,0,0,0,0,0.38855
4,4,64,1002,250.5,1,1,0,0,0.9849999999999999
7,7,75,240,34.285714285714285,1,1,0,0,0.5141428571428571
5,5,108,193,38.6,1,0,0,0,0.30077999999999994
4,4,77,641,160.25,0,0,0,0,0.6874750000000001
4,4,48,166,41.5,0,0,0,0,0.3182
4,4,74,287,71.75,0,0,0,0,0.5613
6,6,91,1241,206.83333333333334,1,1,0,0,0.54105
7,7,78,256,36.57142857142857,0,0,0,0,0.5400714285714285
5,5,81,767,153.4,0,1,0,0,0.77086
4,4,79,200,50.0,0,0,0,0,0.347325
8,8,80,87,10.875,1,0,0,0,0.5098
4,4,80,1526,381.5,1,0,0,0,0.863925
4,4,58,714,178.5,0,1,0,0,0.97655
4,4,93,247,61.75,0,0,0,0,0.6382
4,4,91,50,12.5,0,0,0,0,0.872
6,6,38,23,3.8333333333333335,0,0,0,0,0.0734
5,5,88,560,112.0,0,0,0,0,0.7930200000000001
4,4,135,320,80.0,0,1,0,0,0.7893749999999999
6,6,53,834,139.0,0,1,0,0,0.6341666666666667
6,6,98,87,14.5,0,0,0,0,0.24939999999999998
9,9,88,3717,413.0,1,1,0,0,-0.09063333333333333
6,6,58,298,49.666666666666664,0,0,0,0,0.17579999999999998
4,4,102,254,63.5,0,0,0,0,0.6663
7,7,77,442,63.142857142857146,0,0,0,0,0.7128571428571429
5,5,79,235,47.0,0,1,0,0,0.6371
5,5,44,519,103.8,0,0,0,0,0.7378
4,4,81,2247,561.75,0,0,0,0,0.9237
5,5,69,117,23.4,0,0,0,0,0.11506000000000001
6,6,90,673,112.16666666666667,1,1,0,0,0.6678666666666667
4,4,90,338,84.5,0,0,0,0,0.14287500000000003
4,4,76,13,3.25,0,1,0,0,0.1909
4,4,88,464,116.0,1,0,0,0,0.64215
4,4,86,1641,410.25,1,0,0,0,0.994725
4,4,17,51,12.75,0,0,0,0,0.239475
4,4,73,117,29.25,1,0,0,0,0.47122499999999995
4,4,78,93,23.25,0,0,0,0,0.04765000000000001
4,4,82,141,35.25,0,0,0,0,0.426
4,4,82,702,175.5,0,0,0,0,0.8717250000000001
4,4,99,56,14.0,0,0,0,0,0.4627
4,4,104,690,172.5,0,0,0,0,0.8351249999999999
9,9,103,1724,191.55555555555554,1,1,0,0,0.7147666666666667
4,4,96,575,143.75,1,0,0,7,0.655925
4,4,101,5863,1465.75,0,1,0,0,0.9988
4,4,65,65,16.25,0,0,0,0,0.5459999999999999
4,4,92,309,77.25,0,0,0,0,0.424325
5,5,58,219,43.8,0,0,0,0,0.24114
6,6,86,673,112.16666666666667,1,0,0,0,0.5295666666666666
8,8,98,620,77.5,1,1,0,0,0.4855125
10,10,151,1045,104.5,0,1,0,0,0.8392
4,4,82,233,58.25,1,1,0,0,0.137025
5,5,97,454,90.8,0,0,0,0,0.6692600000000001
4,4,101,714,178.5,1,1,0,0,0.47607499999999997
7,7,25,250,35.714285714285715,0,0,0,0,0.1674
8,8,69,246,30.75,0,1,0,0,0.499025
8,8,94,1007,125.875,0,0,0,0,0.9142000000000001
7,7,112,257,36.714285714285715,0,0,0,0,0.38439999999999996
9,9,71,770,85.55555555555556,0,1,0,0,0.44855555555555554
4,4,102,453,113.25,0,1,0,1,0.704125
7,7,83,565,80.71428571428571,0,0,0,0,0.38494285714285714
8,8,124,1263,157.875,1,0,0,0,0.359425
4,4,91,121,30.25,0,0,0,0,0.509375
7,7,56,40,5.714285714285714,0,0,0,0,0.22728571428571429
8,8,130,762,95.25,0,1,0,0,0.7372
5,5,80,1782,356.4,1,0,0,4,0.94094
5,5,74,80,16.0,0,0,0,0,0.40738
10,10,89,427,42.7,0,0,0,0,0.2625
5,5,62,606,121.2,0,0,0,0,0.8938400000000002
6,6,153,435,72.5,1,0,0,0,0.5616
4,4,95,39,9.75,0,0,0,0,0.53405
7,7,99,257,36.714285714285715,1,0,0,0,0.4521428571428571
